City,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Windspeed
Sobolevo,80,1627342911,77,54.4299,31.8996,62.94,5.48
Punta Arenas,0,1627342827,75,-53.15,-70.9167,42.91,8.05
Albany,0,1627342680,74,42.6001,-73.9662,81.25,7.65
Baykit,27,1627342912,54,61.67,96.37,75.13,3.65
Saskylakh,70,1627342875,68,71.9167,114.0833,54.63,7.09
Hermanus,23,1627342840,61,-34.4187,19.2345,56.07,7.02
Busselton,99,1627342835,61,-33.65,115.3333,49.08,29.51
Havre-St-Pierre,40,1627342843,88,50.2334,-63.5986,64.76,3.44
Chokurdakh,97,1627342913,70,70.6333,147.9167,43.27,12.46
Broome,1,1627342915,51,42.2506,-75.833,80.98,6.91
Taree,1,1627342881,71,-31.9,152.4667,56.1,6.91
Vanavara,14,1627342915,51,60.34,102.2797,73.06,5.68
Port Lincoln,33,1627342916,50,-34.7333,135.8667,58.95,26.37
Pisco,0,1627342845,77,-13.7,-76.2167,66.25,16.11
Gorom-Gorom,83,1627342916,56,14.4439,-0.2361,82.74,7.52
Pimentel,40,1627342917,83,-6.8367,-79.9342,68.29,3.0
Hilo,90,1627342832,91,19.7297,-155.09,77.25,6.91
Kapaa,75,1627342830,76,22.0752,-159.319,84.52,4.0
Ancud,48,1627342918,77,-41.8697,-73.8203,44.13,6.76
Laguna,1,1627342918,26,38.421,-121.4238,98.24,7.0
Sindor,32,1627342918,95,62.8629,51.8905,43.66,8.75
Baruun-Urt,97,1627342919,68,46.6806,113.2792,62.74,3.06
Ushuaia,75,1627342834,80,-54.8,-68.3,35.26,9.22
Bluff,26,1627342849,73,-46.6,168.3333,49.8,20.38
Golden,20,1627342919,18,39.7555,-105.2211,95.76,7.0
Butaritari,68,1627342877,74,3.0707,172.7902,82.54,8.05
Provideniya,90,1627342870,81,64.3833,-173.3,50.11,4.47
Lorengau,69,1627342875,70,-2.0226,147.2712,84.88,3.4
Russell,20,1627342921,85,32.3502,-85.1999,92.91,6.91
Murovane,56,1627342921,90,49.5214,22.9367,63.61,5.53
Haines Junction,100,1627342921,77,60.7522,-137.5108,57.15,2.3
Qaanaaq,100,1627342849,83,77.484,-69.3632,42.33,9.66
New Norfolk,100,1627342846,83,-42.7826,147.0587,55.89,4.76
East London,88,1627342867,26,-33.0153,27.9116,63.03,11.99
Port Alfred,98,1627342837,32,-33.5906,26.891,60.85,9.91
Geraldton,90,1627342864,67,-28.7667,114.6,63.12,24.16
Rikitea,74,1627342832,77,-23.1203,-134.9692,74.64,18.23
Nova Londrina,9,1627342924,34,-22.7658,-52.985,74.1,3.51
Bambous Virieux,75,1627342842,94,-20.3428,57.7575,68.25,17.27
Airai,40,1627342925,37,-8.9266,125.4092,67.89,3.18
Carnarvon,75,1627342925,74,-24.8667,113.6333,68.07,9.22
Kwinana,86,1627342926,68,-32.25,115.7667,58.8,36.44
Mataura,41,1627342831,84,-46.1927,168.8643,49.48,3.91
Perené,38,1627342926,74,-10.9492,-75.2261,74.12,0.92
Kaitangata,58,1627342867,55,-46.2817,169.8464,53.92,8.63
Adrar,2,1627342927,20,20.5022,-10.0711,91.08,13.8
Ashland,0,1627342652,56,40.8167,-82.2665,84.74,3.04
Cuenca,75,1627342927,59,-2.8833,-78.9833,62.73,9.22
Cape Town,0,1627342563,60,-33.9258,18.4232,58.08,1.99
Lüderitz,0,1627342928,63,-26.6481,15.1594,60.84,4.83
Klaksvík,100,1627342929,99,62.2266,-6.589,50.92,5.7
Maniitsoq,57,1627342929,76,65.4167,-52.9,51.85,13.69
Yerbogachën,50,1627342929,55,61.2767,108.0108,75.49,6.44
Yellowknife,40,1627342835,60,62.456,-114.3525,68.52,16.11
Vaini,75,1627342868,88,-21.2,-175.2,77.16,9.22
Krasnosel'kup,100,1627342930,96,65.7,82.4667,54.97,13.22
Pecos,1,1627342930,13,31.4229,-103.4932,101.23,9.22
Wajir,63,1627342931,70,1.7471,40.0573,72.43,17.69
Tiksi,65,1627342826,87,71.6872,128.8694,39.04,10.07
Flinders,67,1627342931,61,-34.5833,150.8552,66.06,4.0
Dingle,100,1627342865,79,10.9995,122.6711,83.14,13.87
Atuona,47,1627342659,69,-9.8,-139.0333,77.72,21.56
Iskateley,100,1627342933,93,67.6803,53.1512,43.74,9.93
Tuatapere,74,1627342934,80,-46.1333,167.6833,49.82,5.03
Gravdal,14,1627342934,89,68.1214,13.5031,54.73,8.59
Avarua,40,1627342876,73,-21.2078,-159.775,78.85,9.22
Kabare,99,1627342935,90,-2.4683,28.8242,59.56,1.66
Upernavik,100,1627342869,91,72.7868,-56.1549,42.35,3.91
Andi,66,1627342935,91,42.7836,46.2617,54.84,3.62
Ponta do Sol,6,1627342936,79,32.6667,-17.1,74.03,7.25
Yar-Sale,23,1627342887,73,66.8333,70.8333,48.72,7.07
Östersund,90,1627342936,59,63.1792,14.6357,66.65,8.05
Sitka,40,1627342828,72,57.0531,-135.33,62.49,6.91
Chui,51,1627342856,81,-33.6971,-53.4616,47.8,10.94
Vila Franca do Campo,55,1627342937,89,37.7167,-25.4333,70.21,6.58
Saint George,46,1627342625,44,37.1041,-113.5841,81.54,13.6
Dikson,100,1627342839,100,73.5069,80.5464,38.16,3.53
Mahébourg,75,1627342842,94,-20.4081,57.7,68.29,17.27
Kavieng,40,1627342938,65,-2.5744,150.7967,84.7,6.38
Port Elizabeth,0,1627342828,26,-33.918,25.5701,69.1,13.8
Vostok,78,1627342891,68,46.4856,135.8833,81.95,2.19
Arlit,100,1627342939,26,18.7369,7.3853,95.05,17.67
Verkhnyaya Balkariya,81,1627342940,92,43.1279,43.4573,59.92,4.68
Sørland,16,1627342940,94,67.667,12.6934,53.24,11.61
Pevek,87,1627342940,89,69.7008,170.3133,36.36,16.75
Vestmannaeyjar,100,1627342854,83,63.4427,-20.2734,50.86,12.17
Ribeira Grande,25,1627342838,89,38.5167,-28.7,70.83,10.11
Asău,47,1627342941,78,46.4333,26.4,66.96,5.23
Barrow,90,1627342857,87,71.2906,-156.7887,48.22,8.05
Esil,46,1627342942,54,51.9556,66.4042,58.24,1.95
Lufilufi,46,1627342942,73,-13.8745,-171.5986,83.98,12.19
Chapais,94,1627342943,87,49.7834,-74.8492,55.18,9.33
Puerto Ayora,45,1627342839,83,-0.7393,-90.3518,72.55,8.01
Vao,89,1627342803,61,-22.6667,167.4833,68.23,17.07
Tasiilaq,53,1627342871,91,65.6145,-37.6368,48.36,4.25
Castro,7,1627342855,63,-24.7911,-50.0119,58.44,4.54
Ilulissat,20,1627342944,54,69.2167,-51.1,55.42,29.93
Tautira,47,1627342944,75,-17.7333,-149.15,82.42,8.68
De-Kastri,99,1627342945,86,51.4667,140.7833,72.52,0.54
Severo-Kuril'sk,100,1627342853,87,50.6789,156.125,60.76,7.43
Baymak,7,1627342945,63,52.5933,58.3225,50.36,4.36
Chegdomyn,100,1627342946,96,51.1167,133.0167,71.38,2.8
Irbeyskoye,15,1627342946,94,55.6428,95.4522,66.43,4.76
Burriana,2,1627342946,76,39.889,-0.085,73.09,3.74
Slave Lake,1,1627342929,60,55.2834,-114.769,69.78,5.75
Saint Paul Harbor,90,1627342890,59,57.79,-152.4072,62.11,5.75
Biltine,90,1627342948,73,14.5333,20.9167,77.79,6.35
Vardø,57,1627342854,86,70.3705,31.1107,46.42,7.58
Alice Springs,57,1627342949,18,-23.7,133.8833,67.55,21.85
Hobart,75,1627342846,82,-42.8794,147.3294,56.23,1.99
Nikolskoye,10,1627342839,71,59.7035,30.7861,62.49,3.56
Malanje,52,1627342949,28,-9.5402,16.341,64.42,2.86
Sainte-Anne-des-Monts,54,1627342950,77,49.124,-66.4924,66.07,2.3
Atbasar,20,1627342950,53,51.8,68.3333,56.61,5.84
Departamento de Maldonado,6,1627342951,90,-34.6667,-54.9167,50.23,6.58
Ferme-Neuve,60,1627342951,80,46.7001,-75.4493,74.98,5.32
Rodolfo Sánchez Taboada,61,1627342951,84,31.7167,-116.5667,73.18,3.0
Binon-an,100,1627342952,78,11.3947,123.1426,83.43,18.75
